heartrate,sec,lower_norm,higher_norm
94,1,70,90
94,2,70,90
93,3,70,90
93,4,70,90
93,5,70,90
92,6,70,90
91,7,70,90
91,8,70,90
90,9,70,90
90,10,70,90
90,11,70,90
90,12,70,90
89,13,70,90
89,14,70,90
89,15,70,90
88,16,70,90
88,17,70,90
89,18,70,90
91,19,70,90
92,20,70,90
92,21,70,90
92,22,70,90
92,23,70,90
91,24,70,90
91,25,70,90
91,26,70,90
91,27,70,90
91,28,70,90
91,29,70,90
90,30,70,90
90,31,70,90
90,32,70,90
90,33,70,90
90,34,70,90
90,35,70,90
89,36,70,90
89,37,70,90
89,38,70,90
89,39,70,90
88,40,70,90
88,41,70,90
87,42,70,90
87,43,70,90
86,44,70,90
86,45,70,90
85,46,70,90
85,47,70,90
85,48,70,90
85,49,70,90
84,50,70,90
84,51,70,90
84,52,70,90
84,53,70,90
84,54,70,90
83,55,70,90
83,56,70,90
83,57,70,90
83,58,70,90
83,59,70,90
82,60,70,90
82,61,70,90
82,62,70,90
82,63,70,90
82,64,70,90
82,65,70,90
83,66,70,90
83,67,70,90
83,68,70,90
83,69,70,90
83,70,70,90
83,71,70,90
83,72,70,90
84,73,70,90
84,74,70,90
84,75,70,90
84,76,70,90
84,77,70,90
84,78,70,90
84,79,70,90
84,80,70,90
85,81,70,90
85,82,70,90
85,83,70,90
85,84,70,90
85,85,70,90
85,86,70,90
85,87,70,90
86,88,70,90
86,89,70,90
86,90,70,90
86,91,70,90
86,92,70,90
86,93,70,90
86,94,70,90
87,95,70,90
87,96,70,90
87,97,70,90
86,98,70,90
86,99,70,90
86,100,70,90
86,101,70,90
86,102,70,90
86,103,70,90
86,104,70,90
85,105,70,90
85,106,70,90
85,107,70,90
85,108,70,90
85,109,70,90
85,110,70,90
85,111,70,90
85,112,70,90
85,113,70,90
85,114,70,90
85,115,70,90
86,116,70,90
86,117,70,90
86,118,70,90
86,119,70,90
86,120,70,90
86,121,70,90
86,122,70,90
86,123,70,90
86,124,70,90
86,125,70,90
87,126,70,90
87,127,70,90
87,128,70,90
87,129,70,90
87,130,70,90
87,131,70,90
87,132,70,90
87,133,70,90
87,134,70,90
87,135,70,90
88,136,70,90
88,137,70,90
88,138,70,90
88,139,70,90
88,140,70,90
88,141,70,90
89,142,70,90
91,143,70,90
92,144,70,90
93,145,70,90
94,146,70,90
94,147,70,90
95,148,70,90
92,149,70,90
92,150,70,90
92,151,70,90
91,152,70,90
91,153,70,90
91,154,70,90
91,155,70,90
91,156,70,90
91,157,70,90
90,158,70,90
90,159,70,90
90,160,70,90
90,161,70,90
90,162,70,90
89,163,70,90
89,164,70,90
89,165,70,90
89,166,70,90
88,167,70,90
88,168,70,90
87,169,70,90
87,170,70,90
86,171,70,90
86,172,70,90
86,173,70,90
85,174,70,90
85,175,70,90
84,176,70,90
84,177,70,90
83,178,70,90
83,179,70,90
82,180,70,90
82,181,70,90
81,182,70,90
81,183,70,90
80,184,70,90
80,185,70,90
80,186,70,90
79,187,70,90
79,188,70,90
79,189,70,90
79,190,70,90
79,191,70,90
79,192,70,90
78,193,70,90
78,194,70,90
78,195,70,90
78,196,70,90
78,197,70,90
78,198,70,90
77,199,70,90
77,200,70,90
77,201,70,90
77,202,70,90
77,203,70,90
77,204,70,90
78,205,70,90
78,206,70,90
78,207,70,90
78,208,70,90
78,209,70,90
78,210,70,90
78,211,70,90
79,212,70,90
79,213,70,90
79,214,70,90
79,215,70,90
79,216,70,90
79,217,70,90
79,218,70,90
80,219,70,90
80,220,70,90
80,221,70,90
80,222,70,90
79,223,70,90
80,224,70,90
79,225,70,90
80,226,70,90
80,227,70,90
80,228,70,90
80,229,70,90
80,230,70,90
80,231,70,90
80,232,70,90
80,233,70,90
80,234,70,90
80,235,70,90
81,236,70,90
81,237,70,90
81,238,70,90
81,239,70,90
81,240,70,90
81,241,70,90
81,242,70,90
81,243,70,90
81,244,70,90
81,245,70,90
82,246,70,90
82,247,70,90
82,248,70,90
82,249,70,90
82,250,70,90
82,251,70,90
82,252,70,90
